epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5078,1.48409,3.11614,1.28784,0.00318,0.91045,0.44426,0.22067,1.20732,3.64379,1.07767,0.00036,0.00036,0.00036
2,60.7313,1.43833,2.07875,1.20038,0.00318,0.91045,0.45596,0.19707,1.332,3.73845,1.17002,0.000732674,0.000732674,0.000732674
3,80.484,1.4957,1.92611,1.23572,0.27291,0.25373,0.20207,0.09381,1.42985,3.66385,1.30698,0.00109782,0.00109782,0.00109782
4,100.111,1.41093,1.69803,1.25492,0.53991,0.21022,0.27461,0.14633,1.56441,3.42709,1.39197,0.00145545,0.00145545,0.00145545
5,122.48,1.46253,1.68831,1.22708,0.16606,0.26866,0.09913,0.0537,1.56275,3.193,1.408,0.00180555,0.00180555,0.00180555
6,146.065,1.51516,1.57953,1.29353,0.05659,0.41791,0.03747,0.01988,1.68952,4.41466,1.36352,0.001901,0.001901,0.001901
7,170.27,1.47082,1.46772,1.25067,0.55847,0.62687,0.55264,0.22426,1.62303,2.17432,1.34536,0.0018812,0.0018812,0.0018812
8,193.076,1.44354,1.41623,1.25247,0.75204,0.67909,0.75819,0.39418,1.61004,1.88088,1.44363,0.0018614,0.0018614,0.0018614
9,219.356,1.43596,1.31609,1.2379,0.74803,0.83582,0.85162,0.45574,1.60519,1.76073,1.38406,0.0018416,0.0018416,0.0018416
10,247.867,1.4621,1.26217,1.25175,0.78349,0.70217,0.71531,0.3694,1.5517,1.36821,1.30518,0.0018218,0.0018218,0.0018218
11,277.107,1.36507,1.22127,1.19851,0.63709,0.61194,0.52321,0.23652,1.49189,1.78529,1.32502,0.001802,0.001802,0.001802
12,306.828,1.51273,1.23815,1.27417,0.85489,0.76119,0.78775,0.4162,1.47866,1.44498,1.29872,0.0017822,0.0017822,0.0017822
13,339.511,1.39359,1.12231,1.20525,0.84105,0.58209,0.69463,0.36899,1.42637,1.29676,1.24233,0.0017624,0.0017624,0.0017624
14,372.127,1.34717,1.05216,1.20504,0.90837,0.71642,0.74612,0.36399,1.48851,1.17772,1.26442,0.0017426,0.0017426,0.0017426
15,403.386,1.35522,1.02733,1.19346,0.96765,0.89297,0.95066,0.49056,1.53537,1.15743,1.32728,0.0017228,0.0017228,0.0017228
