epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7572,1.56363,3.35267,1.28524,0.74478,0.31343,0.32651,0.18401,1.41958,2.55741,1.18244,0.00036,0.00036,0.00036
2,96.8729,1.45645,1.39137,1.21891,0.60256,0.29851,0.23365,0.10645,1.52003,1.66887,1.42635,0.000732674,0.000732674,0.000732674
3,142.287,1.56835,1.39934,1.30437,0.77581,0.31,0.37405,0.1784,1.68847,2.09927,1.49276,0.00109782,0.00109782,0.00109782
4,189.047,1.5651,1.25207,1.31594,0.53942,0.23881,0.26606,0.11296,2.21912,2.22099,1.74858,0.00145545,0.00145545,0.00145545
5,240.102,1.52867,1.24135,1.33967,0.02246,0.13433,0.00726,0.0034,2.96917,8.0791,4.35547,0.00180555,0.00180555,0.00180555
6,293.26,1.58635,1.25353,1.39171,0.0298,0.0597,0.00503,0.00173,2.45959,10.6302,2.20258,0.001901,0.001901,0.001901
7,350.741,1.55805,1.1497,1.33538,0.03134,0.0597,0.00366,0.00121,2.81693,27.083,2.40105,0.0018812,0.0018812,0.0018812
8,407.872,1.55736,1.13919,1.32113,0.43804,0.1194,0.12809,0.06257,2.09107,4.43255,1.86739,0.0018614,0.0018614,0.0018614
9,467.956,1.60621,1.13854,1.3844,0.48628,0.14925,0.1601,0.07089,2.05559,4.47015,1.76904,0.0018416,0.0018416,0.0018416
10,523.241,1.50784,1.08649,1.3353,0.72908,0.38806,0.43438,0.21958,1.65167,3.48697,1.52784,0.0018218,0.0018218,0.0018218
11,587.169,1.49086,1.05581,1.32087,0.65243,0.28358,0.30074,0.15132,1.69952,3.03703,1.53536,0.001802,0.001802,0.001802
12,644.964,1.47332,1.02396,1.30462,0.76904,0.59638,0.63155,0.32059,1.61768,1.56651,1.45116,0.0017822,0.0017822,0.0017822
13,702.129,1.44947,0.99597,1.27524,0.85824,0.72296,0.80719,0.44227,1.63566,1.24019,1.49159,0.0017624,0.0017624,0.0017624
14,760.744,1.47644,1.0034,1.31703,0.76138,0.71438,0.79059,0.48608,1.41478,1.23592,1.32826,0.0017426,0.0017426,0.0017426
15,815.66,1.45477,0.96977,1.27918,0.87899,0.79104,0.83772,0.48614,1.54687,1.02423,1.35468,0.0017228,0.0017228,0.0017228
16,872.659,1.44322,0.99827,1.29658,0.89234,0.77612,0.87484,0.47629,1.47757,1.18631,1.36098,0.001703,0.001703,0.001703
17,931.835,1.40395,0.97602,1.26283,0.80249,0.85075,0.88449,0.51293,1.45317,0.95536,1.28207,0.0016832,0.0016832,0.0016832
18,989.913,1.43033,0.95593,1.25662,0.94749,0.80804,0.92434,0.52508,1.49524,0.8996,1.3733,0.0016634,0.0016634,0.0016634
19,1049.03,1.3919,0.91817,1.25857,0.84552,0.89865,0.92517,0.54682,1.46974,0.91934,1.30602,0.0016436,0.0016436,0.0016436
20,1107.51,1.40592,0.91967,1.23066,0.82714,0.85707,0.87543,0.49283,1.5187,1.07989,1.31264,0.0016238,0.0016238,0.0016238
21,1163.55,1.40871,0.91002,1.26114,0.93378,0.84199,0.92009,0.52789,1.4874,0.98349,1.35473,0.001604,0.001604,0.001604
22,1222.35,1.34693,0.88993,1.24702,0.87369,0.85075,0.93501,0.53893,1.42371,0.99796,1.31876,0.0015842,0.0015842,0.0015842
23,1280.68,1.33469,0.85574,1.21666,0.88913,0.85075,0.90639,0.50813,1.49532,1.05173,1.34499,0.0015644,0.0015644,0.0015644
24,1341.06,1.31943,0.85925,1.19674,0.93504,0.86567,0.91561,0.48982,1.47185,0.84983,1.30581,0.0015446,0.0015446,0.0015446
25,1413.43,1.41102,0.90129,1.27902,0.8966,0.90599,0.93453,0.54379,1.41428,0.79752,1.27713,0.0015248,0.0015248,0.0015248
26,1498.37,1.29933,0.86032,1.19436,0.92028,0.8615,0.92695,0.53837,1.45634,0.79473,1.30719,0.001505,0.001505,0.001505
27,1573.71,1.35668,0.85913,1.2252,0.94477,0.85075,0.94503,0.53898,1.46793,0.81138,1.33211,0.0014852,0.0014852,0.0014852
28,1638.45,1.24629,0.81991,1.16849,0.94282,0.86567,0.944,0.55584,1.37967,0.81721,1.27811,0.0014654,0.0014654,0.0014654
29,1721.12,1.21549,0.76946,1.17985,0.93468,0.85429,0.93386,0.49027,1.58325,0.95192,1.33815,0.0014456,0.0014456,0.0014456
30,1803.13,1.25816,0.82461,1.19045,0.83942,0.93628,0.93838,0.50652,1.43804,0.87303,1.27667,0.0014258,0.0014258,0.0014258
31,1887.02,1.25038,0.79487,1.18915,0.96237,0.85075,0.94906,0.57116,1.36177,0.78279,1.23048,0.001406,0.001406,0.001406
32,1991.26,1.24724,0.81024,1.14531,0.88216,0.83582,0.90103,0.53444,1.48267,0.80852,1.31471,0.0013862,0.0013862,0.0013862
33,2090.12,1.27427,0.77163,1.16589,0.87932,0.92537,0.93349,0.54678,1.42985,0.83582,1.29021,0.0013664,0.0013664,0.0013664
34,2174.7,1.24498,0.75105,1.18532,0.90737,0.87724,0.91194,0.53479,1.46134,0.80102,1.28909,0.0013466,0.0013466,0.0013466
35,2264.69,1.23843,0.73349,1.18319,0.92292,0.89363,0.95733,0.53826,1.50577,0.78543,1.30955,0.0013268,0.0013268,0.0013268
36,2345.51,1.24657,0.74933,1.15873,0.93058,0.91045,0.95299,0.56272,1.4161,0.76283,1.30323,0.001307,0.001307,0.001307
37,2436.07,1.20443,0.75698,1.14841,0.93557,0.86694,0.94928,0.55016,1.40317,0.73414,1.26551,0.0012872,0.0012872,0.0012872
38,2534.55,1.19005,0.70231,1.16435,0.93223,0.85075,0.92558,0.53554,1.49368,0.79487,1.3058,0.0012674,0.0012674,0.0012674
39,2627.1,1.22201,0.76147,1.19629,0.86902,0.89124,0.92419,0.56005,1.38541,0.78864,1.24776,0.0012476,0.0012476,0.0012476
40,2726.18,1.18736,0.70644,1.12108,0.94184,0.9668,0.97324,0.58872,1.37421,0.73639,1.24822,0.0012278,0.0012278,0.0012278
41,2830.07,1.20536,0.7318,1.15448,0.96695,0.92537,0.97305,0.59016,1.4087,0.67233,1.29189,0.001208,0.001208,0.001208
42,2928.83,1.19933,0.719,1.16044,0.96948,0.94829,0.97161,0.5777,1.38267,0.70371,1.25432,0.0011882,0.0011882,0.0011882
43,3012.26,1.16424,0.70047,1.14258,0.90724,0.87589,0.92678,0.56119,1.46246,0.70886,1.28116,0.0011684,0.0011684,0.0011684
44,3099.93,1.16237,0.67322,1.12566,0.92148,0.87589,0.92701,0.52807,1.50545,0.78447,1.28275,0.0011486,0.0011486,0.0011486
45,3215.13,1.15056,0.69446,1.15013,0.89363,0.87781,0.92312,0.55265,1.44415,0.71423,1.26167,0.0011288,0.0011288,0.0011288
46,3330.68,1.074,0.62773,1.10828,0.92975,0.8209,0.89525,0.49786,1.55555,0.80851,1.289,0.001109,0.001109,0.001109
47,3417.35,1.11188,0.65986,1.11648,0.93477,0.91045,0.94462,0.55346,1.46773,0.76792,1.27085,0.0010892,0.0010892,0.0010892
48,3498.39,1.12521,0.67181,1.13939,0.95104,0.95522,0.94509,0.56261,1.45694,0.69971,1.28471,0.0010694,0.0010694,0.0010694
49,3585.99,1.14045,0.6739,1.13694,0.95431,0.93531,0.97127,0.57155,1.43059,0.71311,1.26193,0.0010496,0.0010496,0.0010496
50,3662.76,1.12814,0.65642,1.10656,0.95662,0.97015,0.96868,0.58808,1.41367,0.73143,1.267,0.0010298,0.0010298,0.0010298
51,3739.71,1.0803,0.62633,1.09003,0.92194,0.9403,0.93895,0.54781,1.46892,0.70509,1.28772,0.00101,0.00101,0.00101
52,3814.7,1.07078,0.63212,1.11901,0.96726,0.92537,0.94034,0.55659,1.4151,0.67745,1.29067,0.0009902,0.0009902,0.0009902
53,3891.05,1.10179,0.6228,1.13483,0.93918,0.9403,0.94708,0.60379,1.34919,0.66723,1.26401,0.0009704,0.0009704,0.0009704
54,3971.7,1.12395,0.62528,1.14579,0.93703,0.92537,0.93828,0.60672,1.31819,0.64907,1.24575,0.0009506,0.0009506,0.0009506
55,4057.92,1.08618,0.61192,1.07876,0.95116,0.9403,0.93147,0.5605,1.44189,0.65672,1.26952,0.0009308,0.0009308,0.0009308
56,4130.84,1.07341,0.61981,1.09628,0.95105,0.95522,0.95713,0.56834,1.45153,0.65286,1.26042,0.000911,0.000911,0.000911
